Formula,tau_star,Bandgap_eV,BG_Deviation,HHI,Supply_Risk,CLS,bg_score,sr_score,cls_score,Composite_Score,Rank
BiTbS3,0.7581852392530779,1.9837161302566528,0.6437161302566528,,,,0.4833165757057449,1.0,1.0,0.8277721919019149,131
GaFeSe3,0.8387200176210711,2.0140066146850586,0.6740066146850585,,,,0.5063288043965543,1.0,1.0,0.8354429347988513,132
SnAlSe3,0.8291316182916132,2.018960475921631,0.6789604759216308,,,,0.5100923423468299,1.0,1.0,0.8366974474489433,133
NdTaS3,0.8396457789031593,2.0275697708129883,0.6875697708129882,,,,0.5166329793371297,1.0,1.0,0.8388776597790432,134
SmDyS3,0.8376590591314997,2.037384271621704,0.697384271621704,,,,0.5240892330537095,1.0,1.0,0.8413630776845699,135
SmTbS3,0.7568625112590074,2.04360032081604,0.70360032081604,,,,0.5288116780166311,1.0,1.0,0.8429372260055437,136
GaCrSe3,0.7674536889898382,2.0449490547180176,0.7049490547180175,,,,0.5298363355479001,1.0,1.0,0.8432787785159667,137
PrTlS3,0.8058195893559972,2.050735712051392,0.710735712051392,,,,0.534232563750381,1.0,1.0,0.8447441879167936,138
SmTlS3,0.8006602885531621,2.0518157482147217,0.7118157482147216,,,,0.5350530867513792,1.0,1.0,0.845017695583793,139
PrTbS3,0.7620218120618425,2.0524675846099854,0.7124675846099853,,,,0.5355482986464631,1.0,1.0,0.8451827662154877,140
SmTmS3,0.7754915612377814,2.0526201725006104,0.7126201725006103,,,,0.5356642224258537,1.0,1.0,0.8452214074752845,141
LaTlS3,0.80163858401894,2.0678646564483643,0.7278646564483642,,,,0.5472457325105885,1.0,1.0,0.8490819108368628,142
SrHfS3,0.833198972604732,2.117595911026001,0.7775959110260009,,,,0.5850274657848248,1.0,1.0,0.8616758219282749,143
DyTlS3,0.7929549309111064,2.1441009044647217,0.8041009044647216,,,,0.60516378852677,1.0,1.0,0.8683879295089234,144
GaCrS3,0.8305950697701405,2.18256950378418,0.84256950378418,,,,0.6343890789656487,1.0,1.0,0.8781296929885496,145
MgHfS3,0.8304414052949387,2.201127767562866,0.8611277675628661,,,,0.6484881275031159,1.0,1.0,0.882829375834372,146
MgCeS3,0.8094860401189508,2.2084333896636963,0.8684333896636962,,,,0.654038340703248,1.0,1.0,0.8846794469010826,147
FeCrSe3,0.7285128397571883,2.213322877883911,0.873322877883911,,,,0.6577529733090932,1.0,1.0,0.8859176577696978,148
ZnTbSe3,0.8445295083140997,2.240222930908203,0.900222930908203,,,,0.6781894299611166,1.0,1.0,0.8927298099870389,149
FeCrS3,0.7910398308816317,2.2408173084259038,0.9008173084259037,,,,0.6786409893080241,1.0,1.0,0.8928803297693414,150
SnGeS3,0.7011673009235928,2.247741460800171,0.9077414608001708,,,,0.6839013930596796,1.0,1.0,0.8946337976865598,151
NiCrS3,0.8247193292580005,2.335756778717041,0.9957567787170409,,,,0.7507682214520939,1.0,1.0,0.9169227404840313,152
NiCrSe3,0.8120917304369648,2.3453238010406494,1.0053238010406493,,,,0.7580364612889746,1.0,1.0,0.9193454870963249,153
NiCoSe3,0.8375496631324767,2.365604877471924,1.0256048774719237,,,,0.7734443617481234,1.0,1.0,0.9244814539160412,154
GaMnSe3,0.8356491598143243,2.374624252319336,1.0346242523193359,,,,0.7802965438955353,1.0,1.0,0.9267655146318451,155
ZnTbS3,0.8348683347092811,2.479283332824707,1.139283332824707,,,,0.8598079396558767,1.0,1.0,0.9532693132186255,156
MgPrS3,0.8306767270985898,2.486481189727783,1.1464811897277831,,,,0.8652762816868141,1.0,1.0,0.9550920938956047,157
FeMnSe3,0.7967083105816742,2.4892282485961914,1.1492282485961913,,,,0.8673632719776543,1.0,1.0,0.9557877573258847,158
ZnNbSe3,0.8348726408898336,2.492762804031372,1.152762804031372,,,,0.8700485376486926,1.0,1.0,0.9566828458828974,159
AlCrSe3,0.8220426595717893,2.5019826889038086,1.1619826889038085,,,,0.8770530508874599,1.0,1.0,0.9590176836291532,160
ZnNbS3,0.8252114672850148,2.550213575363159,1.210213575363159,,,,0.9136949273746579,1.0,1.0,0.9712316424582194,161
ZnTaSe3,0.809230210276496,2.64289665222168,1.30289665222168,,,,0.9841079366309908,1.0,1.0,0.9947026455436636,162
ZnTaS3,0.8055793025861511,2.6638150215148926,1.3238150215148925,,,,1.0,1.0,1.0,1.0,163
